run_id,trial_id,scenario,name,timestamp,detail
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,derivative_verified,2026-09-08T14:54:20.164089826Z,bytes=67940 webp=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,health_after,2026-09-08T14:54:20.383936216Z,stable=true healthy=1
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,trial_started,2026-09-08T14:54:20.401534059Z,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,health_before,2026-09-08T14:54:20.620681421Z,stable=true healthy=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,tasks_prepared,2026-09-08T14:54:20.72658569Z,tasks=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,derivative_deleted,2026-09-08T14:54:20.752307067Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,cold_checked,2026-09-08T14:54:20.763594557Z,missing=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,burst_ready,2026-09-08T14:54:20.763825942Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,burst_released,2026-09-08T14:54:20.763837272Z,start_channel=closed
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,burst_finished,2026-09-08T14:54:21.829484478Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,tasks_finished,2026-09-08T14:54:21.933105124Z,tasks=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,derivative_verified,2026-09-08T14:54:21.959089976Z,bytes=67940 webp=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,health_after,2026-09-08T14:54:22.184932616Z,stable=true healthy=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,trial_started,2026-09-08T14:54:22.202479104Z,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,health_before,2026-09-08T14:54:22.428102106Z,stable=true healthy=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,tasks_prepared,2026-09-08T14:54:22.746544147Z,tasks=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,derivative_deleted,2026-09-08T14:54:22.768483869Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,cold_checked,2026-09-08T14:54:22.781342312Z,missing=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,burst_ready,2026-09-08T14:54:22.787287108Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,burst_released,2026-09-08T14:54:22.787316797Z,start_channel=closed
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,burst_finished,2026-09-08T14:54:23.820684749Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,tasks_finished,2026-09-08T14:54:24.230852213Z,tasks=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,derivative_verified,2026-09-08T14:54:24.260719159Z,bytes=67940 webp=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,health_after,2026-09-08T14:54:24.479353317Z,stable=true healthy=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,trial_started,2026-09-08T14:54:24.500364852Z,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,health_before,2026-09-08T14:54:24.726913188Z,stable=true healthy=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,tasks_prepared,2026-09-08T14:54:25.035024552Z,tasks=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,derivative_deleted,2026-09-08T14:54:25.0589819Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,cold_checked,2026-09-08T14:54:25.07248527Z,missing=true
